iter	RMSE
0	1925.556231
1	1858.087514
2	1783.223036
3	1722.19364
4	1665.379085
5	1608.61868
6	1533.80788
7	1484.443606
8	1429.426101
9	1376.036972
10	1334.969291
11	1290.954327
12	1254.965415
13	1214.047126
14	1174.144052
15	1144.238426
16	1100.942021
17	1073.518172
18	1042.849152
19	1003.453064
20	971.3995872
21	942.7240544
22	907.8799013
23	888.4154976
24	861.4959791
25	837.1504302
26	808.0447526
27	781.4308647
28	758.2494193
29	738.387253
30	715.249727
31	699.8970789
32	682.259045
33	663.7183244
34	649.6923596
35	635.4372809
36	621.080447
37	605.3834818
38	591.8444601
39	577.1668385
40	563.3479317
41	550.5679901
42	537.429237
43	526.8852298
44	516.6327316
45	506.8310597
46	494.938597
47	484.9876472
48	475.890279
49	465.9490875
50	456.7756053
51	448.3332891
52	437.4136329
53	428.1441458
54	420.2405321
55	413.5993573
56	406.1002381
57	398.3917611
58	389.8269028
59	383.2020325
60	376.7758849
61	369.6803673
62	362.0603352
63	353.5466683
64	344.0693105
65	337.2119855
66	331.7790965
67	325.6314733
68	318.3218155
69	312.6993956
70	305.398876
71	298.6260035
72	291.9983687
73	287.6863046
74	282.5971115
75	277.5418837
76	272.6558904
77	266.194468
78	260.9168806
79	256.5346003
80	252.4319352
81	248.2609798
82	243.2212399
83	237.6935334
84	234.1643918
85	230.1130942
86	225.6242632
87	220.9563208
88	217.1019353
89	213.0549916
90	208.6484739
91	205.4921246
92	202.6691439
93	200.0146531
94	197.3177745
95	193.7425419
96	190.9737371
97	188.1829484
98	185.9583966
99	183.3298023
100	180.4229458
101	177.1293863
102	173.2324442
103	170.5802172
104	167.8592585
105	164.5184055
106	161.0899911
107	158.1550026
108	156.7260471
109	155.6177166
110	153.0804314
111	151.8846314
112	149.7503869
113	148.2940002
114	146.6056684
115	145.1800566
116	142.4387608
117	139.5284935
118	137.2292666
119	135.2011587
120	133.404978
121	131.6359633
122	130.5308933
123	129.5258922
124	128.6751714
125	127.912752
126	125.7332001
127	123.5719998
128	121.8023167
129	119.306831
130	118.2936405
131	117.547763
132	115.0833766
133	113.2667652
134	111.3810647
135	110.5959538
136	109.2335774
137	107.2758147
138	106.6624696
139	106.0909466
140	104.2302464
141	102.6922164
142	102.2323074
143	100.9258807
144	100.6616259
145	99.04196888
146	98.65215916
147	97.14832743
148	96.67166225
149	95.20091657
150	94.39615226
151	93.17832379
152	91.56933867
153	89.92805184
154	88.44096885
155	86.45590911
156	84.78897582
157	84.59427938
158	83.27025864
159	82.86880652
160	81.51931361
161	80.20914398
162	79.36575335
163	79.22107389
164	78.02370352
165	76.41684613
166	75.30623278
167	74.38165451
168	74.05224408
169	73.00564821
170	72.25598269
171	72.1378405
172	71.39240703
173	71.15072679
174	71.04410644
175	70.89230237
176	69.94175461
177	68.86510016
178	68.66124053
179	67.70139227
180	66.82073922
181	65.58069637
182	64.51690097
183	63.60723598
184	63.4818698
185	62.81808662
186	62.57461433
187	62.2388402
188	62.15585211
189	60.88467562
190	60.7244727
191	60.01094052
192	59.34295961
193	59.16945432
194	58.60255014
195	57.63318379
196	57.48622047
197	56.67467743
198	55.84966034
199	55.13184761
200	54.59152755
201	54.33473135
202	53.68941882
203	53.44260773
204	53.09581146
205	52.09525135
206	51.48172901
207	50.97879794
208	50.27369002
209	50.14220106
210	49.51574583
211	48.93847199
212	48.41611936
213	47.64295805
214	46.8961883
215	46.80213246
216	46.70685307
217	45.87248278
218	45.54947728
219	45.343161
220	45.12135571
221	44.32588498
222	43.58054896
223	43.16887162
224	43.08530146
225	42.59886869
226	42.48794755
227	41.92388902
228	41.37296028
229	41.24108119
230	40.83201128
231	40.34447296
232	39.89213717
233	39.68033562
234	39.05242006
235	38.99028224
236	38.60258112
237	38.46339054
238	38.32136885
239	37.77031954
240	37.50353365
241	36.97486426
242	36.54995302
243	36.256806
244	35.8919439
245	35.82333789
246	35.73695028
247	35.13205945
248	35.05906373
249	34.50954642
